2024-05-30 16:36:04.933, Motor_100_Start_PB, BOOL, True
2024-05-30 16:36:04.959, Motor_100_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:04.983, Motor_100_Actual_Speed, REAL, 150.0
2024-05-30 16:36:05.013, Motor_100_Actual_Current, REAL, 1.2
2024-05-30 16:36:05.038, Motor_100_Actual_Power, REAL, 1.0
2024-05-30 16:36:05.055, Motor_100_Actual_Torque, REAL, 5.0
2024-05-30 16:36:05.084, Motor_100_Per_Actual_Speed, REAL, 10.0
2024-05-30 16:36:05.101, Motor_100_Per_Actual_Current, REAL, 10.0
2024-05-30 16:36:05.115, Motor_100_Per_Actual_Power, REAL, 10.0
2024-05-30 16:36:05.124, Motor_100_Per_Actual_Torque, REAL, 10.0
2024-05-30 16:36:05.135, Motor_101_Start_PB, BOOL, True
2024-05-30 16:36:05.145, Motor_101_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:05.155, Motor_101_Actual_Speed, REAL, 300.0
2024-05-30 16:36:05.170, Motor_101_Actual_Current, REAL, 2.3
2024-05-30 16:36:05.182, Motor_101_Actual_Power, REAL, 1.7
2024-05-30 16:36:05.192, Motor_101_Actual_Torque, REAL, 10.0
2024-05-30 16:36:05.203, Motor_101_Per_Actual_Speed, REAL, 20.0
2024-05-30 16:36:05.214, Motor_101_Per_Actual_Current, REAL, 19.18
2024-05-30 16:36:05.225, Motor_101_Per_Actual_Power, REAL, 17.01
2024-05-30 16:36:05.236, Motor_101_Per_Actual_Torque, REAL, 20.0
2024-05-30 16:36:05.248, Motor_102_Start_PB, BOOL, True
2024-05-30 16:36:05.258, Motor_102_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:05.271, Motor_102_Actual_Speed, REAL, 410.0
2024-05-30 16:36:05.281, Motor_102_Actual_Current, REAL, 3.4
2024-05-30 16:36:05.294, Motor_102_Actual_Power, REAL, 2.8
2024-05-30 16:36:05.308, Motor_102_Actual_Torque, REAL, 13.0
2024-05-30 16:36:05.321, Motor_102_Per_Actual_Speed, REAL, 27.33
2024-05-30 16:36:05.331, Motor_102_Per_Actual_Current, REAL, 28.34
2024-05-30 16:36:05.342, Motor_102_Per_Actual_Power, REAL, 28.01
2024-05-30 16:36:05.353, Motor_102_Per_Actual_Torque, REAL, 26.0
2024-05-30 16:36:05.366, Motor_103_Start_PB, BOOL, True
2024-05-30 16:36:05.394, Motor_103_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:05.416, Motor_103_Actual_Speed, REAL, 600.0
2024-05-30 16:36:05.447, Motor_103_Actual_Current, REAL, 4.8
2024-05-30 16:36:05.460, Motor_103_Actual_Power, REAL, 3.9
2024-05-30 16:36:05.471, Motor_103_Actual_Torque, REAL, 20.0
2024-05-30 16:36:05.482, Motor_103_Per_Actual_Speed, REAL, 40.0
2024-05-30 16:36:05.495, Motor_103_Per_Actual_Current, REAL, 39.96
2024-05-30 16:36:05.507, Motor_103_Per_Actual_Power, REAL, 39.0
2024-05-30 16:36:05.518, Motor_103_Per_Actual_Torque, REAL, 40.0
2024-05-30 16:36:05.542, Motor_104_Start_PB, BOOL, True
2024-05-30 16:36:05.588, Motor_104_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:05.611, Motor_104_Actual_Speed, REAL, 750.0
2024-05-30 16:36:05.638, Motor_104_Actual_Current, REAL, 6.0
2024-05-30 16:36:05.667, Motor_104_Actual_Power, REAL, 4.8
2024-05-30 16:36:05.682, Motor_104_Actual_Torque, REAL, 25.0
2024-05-30 16:36:05.694, Motor_104_Per_Actual_Speed, REAL, 50.0
2024-05-30 16:36:05.706, Motor_104_Per_Actual_Current, REAL, 49.96
2024-05-30 16:36:05.718, Motor_104_Per_Actual_Power, REAL, 47.95
2024-05-30 16:36:05.729, Motor_104_Per_Actual_Torque, REAL, 50.0
2024-05-30 16:36:05.739, Motor_105_Start_PB, BOOL, True
2024-05-30 16:36:05.750, Motor_105_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:05.760, Motor_105_Actual_Speed, REAL, 890.0
2024-05-30 16:36:05.774, Motor_105_Actual_Current, REAL, 7.1
2024-05-30 16:36:05.785, Motor_105_Actual_Power, REAL, 5.9
2024-05-30 16:36:05.815, Motor_105_Actual_Torque, REAL, 29.0
2024-05-30 16:36:05.845, Motor_105_Per_Actual_Speed, REAL, 56.67
2024-05-30 16:36:05.869, Motor_105_Per_Actual_Current, REAL, 58.29
2024-05-30 16:36:05.911, Motor_105_Per_Actual_Power, REAL, 57.95
2024-05-30 16:36:05.921, Motor_105_Per_Actual_Torque, REAL, 56.0
2024-05-30 16:36:05.937, Motor_106_Start_PB, BOOL, True
2024-05-30 16:36:05.964, Motor_106_Motor_ON_CMD, BOOL, True
2024-05-30 16:36:05.999, Motor_106_Actual_Speed, REAL, 1050.0
